s.no,s.temp,o.temp,step
0,89.08,89.29,12.65
1,88.97,88.83,9.19
2,89.01,89.04,9.78
3,89.01,88.83,10.05
4,88.97,88.03,8.42
5,88.9,88.54,9.45
6,88.97,90.05,9.91
7,88.93,90.19,9.94
8,88.9,90.09,10.02
9,88.93,90.23,10
10,88.9,89.94,10.46
11,88.9,89.8,10.01
12,88.93,89.98,10.01
13,88.9,89.98,10.04
14,88.9,89.83,10.04
15,88.86,90.05,10.07
16,88.83,90.23,10.01
17,88.9,90.23,10.01
18,88.9,90.05,10.04
19,88.93,90.05,10.04
20,88.9,90.16,10.01
21,88.9,89.76,10.04
22,88.9,90.05,10.1
23,88.9,90.3,10.21
24,88.97,89.98,10.02
25,88.93,90.09,10.1
26,88.9,90.16,10.1
27,88.93,89.76,10.09
28,88.93,89.65,10.07
29,88.9,89.69,10.1
30,88.9,90.09,10.05
31,88.93,89.69,10.13
32,88.9,89.65,10.04
33,88.9,89.65,10.07
34,88.86,89.8,10.03
35,88.9,91.24,9.96
36,88.9,92.43,10.07
37,88.9,92.28,10.04
38,88.93,92.71,10.13
39,88.9,92.5,9.96
40,88.9,92.43,10.07
41,88.9,92.5,9.99
42,88.86,90.41,10.05
43,88.93,90.81,10.25
44,88.93,90.16,10.07
45,88.9,90.66,10.23
46,88.9,90.84,10.15
47,88.93,90.88,10.07
48,88.93,90.55,10.1
49,88.93,91.6,10.26
50,88.93,91.92,10.11
51,88.97,91.45,10.03
52,88.97,91.45,10.15
53,88.97,91.31,10.02
54,88.93,91.06,10.1
55,88.9,91.06,9.57
56,88.93,91.13,10.07
57,88.97,90.95,10.11
58,88.97,91.35,10.11
59,88.9,91.06,9.99
60,88.86,90.95,10.07
61,88.93,90.88,10.08
62,88.86,90.7,10.03
63,88.86,90.84,10.03
64,88.86,90.99,10.13
65,88.86,91.31,10.16
66,88.86,91.31,10
67,88.9,91.24,10.03
68,88.93,90.99,10.01
69,88.86,91.31,10.06
70,88.93,91.38,10
71,88.9,90.99,9.99
72,88.86,91.2,9.99
73,88.9,91.35,10.13
74,88.9,91.53,10.05
75,88.86,91.13,10.13
76,88.86,89.83,10.1
77,88.86,90.3,9.96
78,88.86,90.34,10.04
79,88.9,89.98,9.96
80,88.83,89.91,10.02
81,88.86,89.8,9.94
82,88.86,89.55,10.04
83,88.86,89.8,10.08
84,88.83,89.98,10.02
85,88.9,89.83,10.08
86,88.9,90.88,9.97
87,88.9,90.7,9.95
88,88.86,90.99,9.96
89,88.86,90.95,9.99
90,88.86,91.09,10.07
91,88.83,91.31,9.94
92,88.9,91.31,10.01
93,88.86,90.99,9.96
94,88.86,91.31,10.02
95,88.9,91.24,9.93
96,88.93,91.53,10.02
97,88.93,91.49,9.97
98,88.97,92.25,10.05
99,88.97,92.1,10
100,88.93,91.24,10
101,89.01,90.59,10.03
102,88.93,90.05,10.07
103,88.97,90.16,10.02
104,89.01,90.05,9.99
105,88.97,89.76,9.97
106,89.08,89.91,10.06
107,88.97,89.91,9.97
108,89.01,90.34,9.96
109,89.08,90.41,10.15
110,89.08,90.7,10
111,89.08,90.41,9.94
112,89.01,90.23,10
113,89.11,90.55,10.04
114,89.11,90.81,9.93
115,89.11,90.66,10.1
116,89.11,92.39,9.97
117,89.11,92.97,10.05
118,89.11,92.71,9.98
119,89.08,89.91,10.02
120,89.11,89.83,10
121,89.15,89.8,10
122,89.11,89.69,10
123,89.15,89.83,10.09
124,89.11,89.65,10
125,89.08,89.83,9.95
126,89.08,89.83,10.03
127,89.11,89.91,10.01
128,89.11,89.8,9.98
129,89.11,89.83,9.97
130,89.11,89.8,10.06
131,89.11,89.91,10
132,89.11,89.8,10.03
133,89.11,89.76,9.99
134,89.08,89.76,10.07
135,89.11,89.91,10.01
136,89.11,89.83,10.01
137,89.11,89.76,10.04
138,89.01,89.8,10.04
139,89.15,89.94,9.99
140,89.11,89.83,9.96
141,89.15,89.8,10.1
142,89.15,89.65,10
143,89.08,89.76,10.01
144,89.11,89.83,9.95
145,89.15,89.91,10.03
146,89.15,89.76,10.03
147,89.15,90.45,9.91
148,89.15,90.7,9.98
149,89.19,91.24,9.94
150,89.22,92.25,9.97
151,89.22,92.03,10
152,89.15,92.03,10
153,89.15,92.17,10
154,89.11,91.85,10.02
155,89.11,91.89,9.88
156,89.11,92.43,10.23
157,89.19,92.5,10.01
158,89.19,91.99,10.02
159,89.15,91.99,10
160,89.11,91.63,9.94
161,89.15,91.92,9.98
162,89.15,91.99,9.97
163,89.08,91.89,9.95
164,89.11,91.74,9.92
165,89.11,91.89,9.97
166,89.11,91.78,9.76
167,89.08,91.85,10.28
168,89.08,91.92,9.9
169,89.08,91.89,10.02
170,89.08,91.85,9.98
171,89.08,92.1,10.05
172,89.08,89.83,10
173,89.08,89.65,9.92
174,89.01,92.5,9.77
175,89.01,90.84,9.99
176,89.08,90.81,10.06
177,88.97,90.66,9.97
178,89.11,90.95,9.94
179,89.08,91.13,9.91
180,89.08,91.35,10.01
181,89.08,91.2,9.99
182,89.01,91.45,9.95
183,89.08,90.95,9.97
184,89.11,91.2,9.99
185,89.08,91.31,9.96
186,89.11,90.88,9.96
187,89.11,91.06,10.04
188,89.08,90.23,9.97
189,89.11,89.83,9.99
190,89.08,89.65,9.92
191,89.11,89.76,10.15
192,89.08,90.45,9.95
193,89.11,90.41,10.03
